"measure","sex","region","K","rmse","n_train","max_abs_dev","source","model_file"
"subcortical","male","Lthal",3403.86324139188,626.054190637357,16876,5.45696821063757e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Rthal",3586.13195084186,561.425181014183,16772,4.54747350886464e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Lcaud",1567.04000790577,406.096286118525,16938,5.45696821063757e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Rcaud",1550.7605295738,419.07039718871,16961,5.91171556152403e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Lput",3007.55086033134,545.676535680757,17037,5.00222085975111e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Rput",3120.19110121351,508.261548536596,17005,5.00222085975111e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Lpal",865.571913666083,216.011124204015,16826,5.34328137291595e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Rpal",850.067839280334,192.597249253312,16915,5.45696821063757e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Lhippo",2438.95318033167,351.085502197708,16827,5.45696821063757e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Rhippo",2453.01624354962,358.890455827822,16823,5.00222085975111e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Lamyg",816.339938738221,183.701612652609,16806,5.11590769747272e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Ramyg",828.238124326465,189.654862803079,16803,5.22959453519434e-12,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Laccumb",267.825900382109,98.6062929713165,16835,5.11590769747272e-13,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","male","Raccumb",303.870440390963,93.7754511180854,16819,5.6843418860808e-13,"single-site_male_2026-09-18-15-02-11","MFPmodels_subcorticalvolume_male.rds"
"subcortical","female","Lthal",3092.3913173317,554.083684499582,19297,5.00222085975111e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Rthal",3318.78885414546,492.452859027008,19164,5.00222085975111e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Lcaud",1557.50872746093,371.752285487684,19354,5.00222085975111e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Rcaud",1562.88029557824,382.35155830431,19331,5.6843418860808e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Lput",2852.11421765952,493.170533316074,19426,5.45696821063757e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Rput",2923.33019812684,461.602899783212,19375,5.00222085975111e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Lpal",854.017141268614,188.87994982059,19165,5.11590769747272e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Rpal",801.546242813089,172.108822230309,19374,5.34328137291595e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Lhippo",2247.22606079547,315.153676799738,19213,5.45696821063757e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Rhippo",2254.66300797213,321.660838930515,19242,5.00222085975111e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Lamyg",743.051047377238,164.49281567074,19201,5.22959453519434e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Ramyg",749.840907940602,165.419221669044,19171,5.00222085975111e-12,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Laccumb",238.558285278189,90.7871160460471,19228,5.11590769747272e-13,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
"subcortical","female","Raccumb",240.817664474609,85.1323961726342,19221,5.40012479177676e-13,"single-site_female_2026-09-17-22-31-48","MFPmodels_subcorticalvolume_female.rds"
